wallet,score,total_coins,win_rate,net_sol,roi
9ygnFstYzbQh25J1qDC41wHvzuAX5c8xg5NDGCRiGeSP,95.3,118,0.903,560.5,2.52
BocpMHmUePwamZcBxhRmb8YUVrqqhr6AkzdazosijSrM,91.3,83,0.944,541.0,3.63
8oRwzEuTNgZa6KV6eEU6v2gf7UvBCVA6Dz5CfkLPgUoZ,91.3,119,0.81,283.6,1.58
GgXicFDK9fiL7pfVdf9Cw6PFsovxdEXdYisQnDgZqxUC,90.0,60,1.0,16.8,1.81
jmemehQbZXX7QqNE7Eyi81MdTZw6cEAT6TU4Kinwtru,89.4,109,0.805,255.0,1.82
BN5UW6MaLRfqV5SqrC2qFeBipDbsefMrQtfhx91JMKJ6,88.8,311,0.751,268.2,5.17
4yo9CUuTBbds9NFhZd4MzPiZZkUvveXdTnAH8qMsE8ku,87.9,152,0.73,700.0,2.01
2dZsMmtFfwuVLjzLrA61inM1hQF9danxskwe65LYYYeD,85.7,98,0.763,595.4,2.64
39rTmUR22VZNkGUAo17KMLF7qFNjdCCcs51pBT9cbp1W,85.6,99,0.757,423.2,2.15
gCbBB4EEV75yJbTqcu6E8t9QkUPykqje7JUGTZa9sGK,84.9,98,0.747,508.8,2.63
97fVD4SLcrcTr16kdgTS9Gq5kJFaP3N2HXAEm1PJRKqv,84.2,98,0.73,764.1,3.74
BtQWYDCLuPckEFDgGi8d5geRm6ZwZvBNTHNvJNMHsx95,84.0,154,0.645,188.2,1.69
HMjCwRuDmj9Na89TGJLcUv9cdwbAsEsTzz2uFpRDZgi,83.1,39,0.925,216.7,3.7
ALVMJ9bny8tFT7AapoVbbzrgCYzrjy8iHw6EHFaehgZZ,82.6,642,0.698,2160.5,1.34
9XWECMNmva22nQ6usNdPcJJvmrSWjKAXK5WNDQinABwX,82.6,30,0.947,97.6,32525.02
q2rHPPM9aJXwqN9VywmGX6rRzMWWwsZmgw1wiPnEaCR,82.5,138,0.934,61.9,0.88
5eiJkhqJbkyHYtwEYjSfx1e27rrG8btzAJRWumUbEES6,82.5,64,0.818,16.3,2.18
4wVtvWQHVizL536kBCiCnbgz7RcJWjiGsVucb84eqXAV,82.1,25,0.955,33.7,3.69
AcKpsk3AKJR8YiTrHr2XCFZ2WV8gcM3zjgcr4P1MjHD1,81.9,59,0.823,317.7,1.83
3bA7CncdQKPH6gYyLZMwBu1AgrdCWNNikp8ezhFMAhFv,81.9,78,0.77,274.1,1.47
8arvt74uDyYcGFuRig7F96RjQpwxGf9wLEUxmzhGnvu,81.7,78,0.81,246.3,1.38
5apcba7gDNp5yk9oaQVwe3Ws98sydYUcExM3zHpyQeEN,80.5,66,0.882,11.5,1.28
8fMZpQdBp4pDTybkicLQmWT2JBaHnMQ2nLAY88vHJ6Fd,79.5,29,0.881,13.1,1.67
FH2Ahq8X1U6hZvfjaHh5p8YfuftgGAaz7jqSjFGBCzUS,79.3,32,0.867,61.2,4.33
GcK6MZmnGj27eEq7Z33y78MPC23JLkBVvhgAeaAqGHTZ,79.3,25,0.893,5.2,3.2
3GzBLpxTWWTPWwBYQ8Jgrz5XLUCg9aY6HiB3GEBUBAv6,78.9,65,0.736,225.5,2.73
2qnPwCFHgpeVtVaPnY3gjNkjVHDogzLMY6hhzT7tTyTd,78.8,78,0.783,240.0,1.31
FtJH2tKZEj13CPogi7uNU2BPSkgAPMabBmb8CTr6c4X1,78.6,33,0.846,629.4,20.22
HMxLwCX3JmtQJDNA5r1iH9eJ4tMBLrrFisxCNY5GqCof,78.2,41,0.809,59.2,1.9
8cjY8uwTBgznjVxUgCRrKRWwzsKB7UvJDjKJcyyF1D4L,77.9,35,0.842,48.0,1.47
7PteyyyR4pvnCUr48bqQN7mxMAuQV4amBkYFNWjohoms,77.5,64,0.708,153.5,1.99
By3zeWf1VKqjgs7JCmBHTWiX5vPF6wpH3SaMzzaP8NFM,77.4,143,0.805,121.8,0.91
HmnoD2K1A4J6g8cYPuo3pZoMzx96qRqvxCJmfL26Airx,77.4,26,0.846,58.6,2.14
8yspHpQXE2GWLvaL2adccHSXym5x2RWpizkohxFMqj8t,77.2,211,0.756,98.7,0.99
7UmjN4kdeZaMiNWadkiu3nawJCWYnjbEhrqe4HC3UiPX,77.0,26,0.838,362.4,5.24
FV6cHMsmhUdWKxAytyQG1qAWzjNTmdEszsYcJSQpp2kh,76.9,56,0.988,7.5,0.99
ChHLuMTdwcv2oUKfoWzxotDs9q6881xnR8uGwUAqBQVE,76.8,51,0.813,275.8,1.36
4euyaqBe45J5dniAcNARERUo7B1wG96riG21sEpNndfU,76.7,137,0.732,379.2,1.02
Ddp5vJQs7Rerjd3k3abTjR8YDm245LYK1nhEXDSEssZS,76.2,75,0.638,12.1,1.98
912PrV9gXLHa7wNXGHdgnPQFiahySrtQwSVhfyfdkQpD,75.4,92,0.679,1218.6,1.26
DankbcqLYtJbMgL6MF4DJCSAk5HPWAkYFUq5HqFRaDan,75.4,58,0.683,112.6,2.06
HcrgHm8SRVMGusPxrimAzK4oNMgLeibPrxwj3tkcHnR3,75.3,51,0.829,216.8,1.26
9fm4TX4zAqcoXmiGbe9p3tpFdvBEudYVJAJo7PYcKzbE,75.0,64,0.652,150.2,1.95
BMzTza9NeDiib5pbzthNV79276feRujYvSa2xx4Q4JHW,73.8,93,0.797,4.9,0.96
dev12bVcv5ZLjo7eYgZcSmZ7KBjEVfnfvorwqdZ14fo,73.7,45,0.692,49.7,2.64
CpX9yBNpdDYGhkLNrXLrWyt9VmZdoK8dPxCtUapKGGSC,73.4,227,0.765,5.9,0.81
5brv79eFZ2rGprXNvqgVJBkBptkkw8GJX1XydJyZLyAr,73.2,408,0.891,1029.2,0.56
31ZGEyiLzDn5NRcjzatFcknZ5C6c5u7hHVL7YTnUWSsq,73.1,30,0.873,75.0,1.23
82Bo1Mac8UwDaWFRDCGFpFWfbzFK3wvZMuXX3xka3Emd,73.0,51,0.798,228.8,1.22
RCzbnGHm1ugzNesac7TrdJ1p1ecN9VGLTC7ydRSuNaa,72.6,25,0.909,3.2,1.18
GgGap6tiUKhD8XeUZaHpVB3rerb3zKWNouWQJHozDujt,72.4,382,0.654,360.1,0.99
iGiyBNJ9eKcPfBLaoVCEMx3WCyrnUT1SfKZL2DYifcL,72.2,50,0.8,236.4,1.19
2qWwD6LGHLUSJUoCwhTaMrMoHEWMFJVS8FAztzQyyBnL,72.0,217,0.788,117.6,0.71
7p4AkPb9AQHhzmUHF2kUaHdXp2xizrUnmn7vQw9D4GXD,71.9,64,0.739,664.5,1.2
AyoAc9NfLQD78vrFJfEuRJRCZaCnMfd6QzsNQWSucrLk,71.6,116,0.808,107.4,0.68
6XeV1QoAyM8WzxApMM8szm2NsUHW8341fZT4jdKkwkps,71.5,67,0.86,150.7,0.93
GRdZZcyJCL2AmqgfRTuQUA8GmgwiFkRSBvzzP66pTydP,71.5,46,0.739,1.2,1.31
3w8N7ay9pvNaXxYUu7gFeZQ2zHg6FECSgwGWxcWwb8C8,71.4,124,0.709,395.8,0.84
AmoTosp6DmCpdnbfi2vfewi6xiZVPnihBmg3ETcKMUnh,71.4,763,0.776,193.0,0.71
4MRELLkwYEyc84aHr3pX33PoA6vS1Ddi8fccXHemwnUm,71.3,37,0.921,44.7,1.02
HHFLtcAVGE8JZ6VJNT9rEunZ4xFF2scEDXz3pPg3xySs,71.2,200,0.8,88.4,0.65
2hbFMuRvSF4Mi6iV84CumhipfKmgFg11a2nQaVoZRwce,71.2,53,0.869,84.1,1.0
6xPuBpf5by2cANad4r63kAJtyzcRhbuLfKkoQu4Gpgp6,71.2,67,0.84,8.6,0.95
BNnN2MqfWLvgThYBsv6v8JQaYZXYKYahC5YCy27Ct1cX,70.6,75,0.694,165.8,1.15
62LwMV62ca93uJL6iZ3X9X91mFaNMJ6uun6VfBupnFAH,70.6,110,0.827,7.9,0.64
93kk52HkrH5pHEPyb2KM62mP4cWA1N5DaSgBgDzA2uT9,70.4,104,0.711,146.2,0.9
5vQU8XBC2v2rcW2dFbsX18PnEntgLrMWyAf9ZxTrbGUN,70.4,39,0.809,13.1,1.18
HNwTzWufZWiadEXpf8rN8jd2BcPfZLUEs23uLkRVZZx6,70.2,28,0.678,364.7,3.33
Bq5VTQ5dvWJgRA1wumMYkajnLQVFEXiHjCx1RZrERhKU,70.2,355,0.806,357.3,0.6
AqKqMhxg3vkpVjpHBxAARB7bjnSEDM1oVBfaJ8AHuNgV,70.2,120,0.711,3.1,0.78
26zCLVUjevVcqtcVULuESUata8NPNkXYzbZUP8Pe9i4C,69.8,47,0.867,5.2,0.98
DKiktLBKEXCMQwpELmQMDw571GVZycVrD6NaNc5Bo4hE,69.6,41,0.902,55.3,0.95
GbuJvNLYUv8vFzamSEczD6ssofQ6k3uFJz6Hr8M5JF6j,69.3,119,0.703,3.0,0.77
HZNsxR4W832s2NnM6ZxvhMutuePHXMNLqVSCJx2XDKSD,69.2,32,0.775,32.4,1.25
33dRNZXnexing9zjk7N4UNWjS1Q7BoYbZEz4LjMyH2Bn,69.0,65,0.873,58.3,0.81
H6PjRLnqGPz5VEU4roZzKnfJRxKECRzYuJAZ2Hvc1rAc,69.0,58,0.864,4.2,0.88
Dpdn5FZL9wHeWipULCbfirkxBVyb8aZRn4bJBY6p2Xt9,68.9,287,0.806,275.9,0.54
AYMwxmz48HBJUvQW1zEUPtJnsfDUVgQnmSagqfWZPPLF,68.9,141,0.782,175.4,0.59
52xBjwUY6yhnnQLmPdTz1SLUr6SndT46XxG7wD6F4iH2,68.9,97,0.732,3.4,0.85
BKY3vyM9rxaiQpaCAFvdkAKbkuihW3jHxEf91axFe5n2,68.7,145,0.726,558.3,0.69
JCeGYPLGnvujWW6LHVAsR2ijJw7AFCggF7HTp6kqdp8p,68.5,51,0.809,10.8,1.01
CZMvsfuFkCLQV6cgXkyMDvDAQ5sL3B7r6Jy69CRuBYyF,68.4,50,0.758,220.5,1.11
